Company,BestList,WorstList,Info
Ridestore,"[['Pakethantering', 1.7403688003431128], ['Kundtjänst (mail)', 1.2258440753349913], ['Personal/service', 1.1413327901800772], ['Installation', 1.0020937994435362]]",[],"Ridestore is best at:
Pakethantering (Score: 1.7403688003431128)
Kundtjänst (mail) (Score: 1.2258440753349913)
Personal/service (Score: 1.1413327901800772)
Installation (Score: 1.0020937994435362)
and worst at:
-
Overall Score: 4.990825688073395
"
Bagaren och Kocken,"[['Leverans(dörr)', 1.0613079783004955], ['Utbud/sortiment', 0.9844779119268442], ['Fri frakt/leveransalternativ', 0.9272778483604104], ['Pakethantering', 0.8879030886832298]]",[],"Bagaren och Kocken is best at:
Leverans(dörr) (Score: 1.0613079783004955)
Utbud/sortiment (Score: 0.9844779119268442)
Fri frakt/leveransalternativ (Score: 0.9272778483604104)
Pakethantering (Score: 0.8879030886832298)
and worst at:
-
Overall Score: 4.6596306068601585
"
Conrad,"[['Verkstad/leverans', 0.31153693096771934], ['Möbler', 0.17455450314715878], ['Noise', 0.16730577569065358], ['Pakethantering', 0.1122479352758624]]","[['Utbud/sortiment', -0.2120160341584694], ['Service/Leverans', -0.20431759278926667], ['Kundtjänst (mail)', -0.1661100668570725], ['Lagerhantering', -0.1472523738498996]]","Conrad is best at:
Verkstad/leverans (Score: 0.31153693096771934)
Möbler (Score: 0.17455450314715878)
Noise (Score: 0.16730577569065358)
Pakethantering (Score: 0.1122479352758624)
and worst at:
Utbud/sortiment (Score: -0.2120160341584694)
Service/Leverans (Score: -0.20431759278926667)
Kundtjänst (mail) (Score: -0.1661100668570725)
Lagerhantering (Score: -0.1472523738498996)
Overall Score: 2.976923076923077
"
iDeal of Sweden,"[['Utbud/sortiment', 0.8241072820832683], ['Leverans/jul/bok', 0.3831168831168831], ['Retur (kläder)', 0.21869639794168094]]","[['Verkstad/leverans', -1.8212715314312775], ['Seriöshet', -1.758009286311173], ['Möbler', -1.2341083107993236], ['Fakturering/betalning', -0.84957020465583]]","iDeal of Sweden is best at:
Utbud/sortiment (Score: 0.8241072820832683)
Leverans/jul/bok (Score: 0.3831168831168831)
Retur (kläder) (Score: 0.21869639794168094)
and worst at:
Verkstad/leverans (Score: -1.8212715314312775)
Seriöshet (Score: -1.758009286311173)
Möbler (Score: -1.2341083107993236)
Fakturering/betalning (Score: -0.84957020465583)
Overall Score: 1.7727272727272727
"
Babyland,"[['Problemhantering/cykel', 1.0958483339819673], ['Kundtjänst (mail)', 1.0717186047617988], ['Fri frakt/leveransalternativ', 0.8783419313602804], ['Retur (kläder)', 0.8373172985939219]]",[],"Babyland is best at:
Problemhantering/cykel (Score: 1.0958483339819673)
Kundtjänst (mail) (Score: 1.0717186047617988)
Fri frakt/leveransalternativ (Score: 0.8783419313602804)
Retur (kläder) (Score: 0.8373172985939219)
and worst at:
-
Overall Score: 4.660933660933661
"
Proffsmagasinet,"[['Fri frakt/leveransalternativ', 1.7115619302709915], ['Installation', 0.6879453716575189], ['Möbler', 0.6830905202615286], ['Kundtjänst(telefon)', 0.5534230795932354]]",[],"Proffsmagasinet is best at:
Fri frakt/leveransalternativ (Score: 1.7115619302709915)
Installation (Score: 0.6879453716575189)
Möbler (Score: 0.6830905202615286)
Kundtjänst(telefon) (Score: 0.5534230795932354)
and worst at:
-
Overall Score: 4.339031339031339
"
MaxGaming,"[['Installation', 1.6621978047159802], ['Service/Leverans', 1.3855222444483863], ['Fri frakt/leveransalternativ', 1.0794876917226521], ['Problemhantering/cykel', 0.9520645219540288]]",[],"MaxGaming is best at:
Installation (Score: 1.6621978047159802)
Service/Leverans (Score: 1.3855222444483863)
Fri frakt/leveransalternativ (Score: 1.0794876917226521)
Problemhantering/cykel (Score: 0.9520645219540288)
and worst at:
-
Overall Score: 4.905149051490515
"
Ginza,"[['Verkstad/leverans', 1.7132917143850963], ['Beställningsproblem (noise)', 1.0186945283077233], ['Fakturering/betalning', 0.8014277125899062], ['Orderhantering', 0.6198700424350007]]",[],"Ginza is best at:
Verkstad/leverans (Score: 1.7132917143850963)
Beställningsproblem (noise) (Score: 1.0186945283077233)
Fakturering/betalning (Score: 0.8014277125899062)
Orderhantering (Score: 0.6198700424350007)
and worst at:
-
Overall Score: 4.213888888888889
"
Svensktkosttillskott,"[['Verkstad/leverans', 1.677709156819122], ['Fakturering/betalning', 1.3798135833560354], ['Kundtjänst (mail)', 0.9315299670992183], ['Beställningsproblem (noise)', 0.8417921327330399]]",[],"Svensktkosttillskott is best at:
Verkstad/leverans (Score: 1.677709156819122)
Fakturering/betalning (Score: 1.3798135833560354)
Kundtjänst (mail) (Score: 0.9315299670992183)
Beställningsproblem (noise) (Score: 0.8417921327330399)
and worst at:
-
Overall Score: 4.709770114942529
"
Uret Vintage,"[['Returer', 1.9642857142857142]]","[['Fakturering/betalning', -8.397435897435896], ['Leverans (2)', -2.6282051282051277]]","Uret Vintage is best at:
Returer (Score: 1.9642857142857142)
and worst at:
Fakturering/betalning (Score: -8.397435897435896)
Leverans (2) (Score: -2.6282051282051277)
Overall Score: 2.5
"
